title,Year,Duration,Genere,Rating,Release Date
Coco ,2017,,Animation,8.4,Adventure
The Great Dictator ,1940,,Comedy,8.4,Drama
Avengers: Endgame ,2019,,Action,8.4,Adventure
Memento ,2000,,Mystery,8.4,Thriller
Apocalypse Now ,1979,,Drama,8.4,Mystery
Alien ,1979,,Horror,8.4,Sci-Fi
Rear Window ,1954,,Mystery,8.4,Thriller
Cinema Paradiso ,1988,,Drama,8.5,"23 February 1990 (USA)
"
Casablanca ,1942,,Drama,8.5,Romance
Once Upon a Time in the West ,1968,,Western,8.5,"4 July 1969 (USA)
"
Hamilton ,2020,,Biography,8.6,Drama
Grave of the Fireflies ,1988,,Animation,8.5,Drama
Whiplash ,2014,,Drama,8.5,Music
The Prestige ,2006,,Drama,8.5,Mystery
The Intouchables ,2011,,Biography,8.5,Comedy
The Departed ,2006,,Crime,8.5,Drama
City Lights ,1931,,Comedy,8.5,Drama
Psycho ,1960,,Horror,8.5,Mystery
Modern Times ,1936,,Comedy,8.5,Drama
American History X ,1998,,Drama,8.5,"20 November 1998 (USA)
"
Back to the Future ,1985,,Adventure,8.5,Comedy
The Lion King ,1994,,Animation,8.5,Adventure
Terminator 2: Judgment Day ,1991,,Action,8.5,Sci-Fi
Gladiator ,2000,,Action,8.5,Adventure
The Usual Suspects ,1995,,Crime,8.5,Mystery
Léon: The Professional ,1994,,Action,8.5,Crime
Interstellar ,2014,,Adventure,8.6,Drama
Harakiri ,1962,,Action,8.6,Drama
The Pianist ,2002,,Biography,8.5,Drama
The Green Mile ,1999,,Crime,8.6,Drama
Spirited Away ,2001,,Animation,8.6,Adventure
Parasite ,2019,,Comedy,8.6,Drama
Saving Private Ryan ,1998,,Drama,8.6,War
It's a Wonderful Life ,1946,,Drama,8.6,Family
Life Is Beautiful ,1997,,Comedy,8.6,Drama
Seven Samurai ,1954,,Action,8.6,Adventure
Star Wars: Episode IV - A New Hope ,1977,,Action,8.6,Adventure
Se7en ,1995,,Crime,8.6,Drama
City of God ,2002,,Crime,8.6,Drama
The Silence of the Lambs ,1991,,Crime,8.6,Drama
Goodfellas ,1990,,Biography,8.7,Crime
One Flew Over the Cuckoo's Nest ,1975,,Drama,8.7,"19 November 1975 (USA)
"
Star Wars: Episode V - The Empire Strikes Back ,1980,,Action,8.7,Adventure
The Lord of the Rings: The Two Towers ,2002,,Action,8.7,Adventure
The Matrix ,1999,,Action,8.7,Sci-Fi
Fight Club ,1999,,Drama,8.8,"15 October 1999 (USA)
"
Forrest Gump ,1994,2h 22min,Drama,8.8,Romance
The Lord of the Rings: The Fellowship of the Ring ,2001,,Action,8.8,Adventure
"The Good, the Bad and the Ugly ",1966,142 min,Western,8.8,"29 December 1967 (USA)
"
Pulp Fiction ,1994,,Crime,8.9,Drama
Inception ,2010,,Action,8.8,Adventure
The Lord of the Rings: The Return of the King ,2003,,Action,8.9,Adventure
Schindler's List ,1993,,Biography,8.9,Drama
The Godfather: Part II ,1974,,Crime,9,Drama
12 Angry Men ,1957,,Crime,9,Drama
The Dark Knight ,2008,,Action,9,Crime
The Godfather ,1972,,Crime,9.2,Drama
